bubble;0.0001;10000;10000;0
bubble;0.0001;10000;10000;0
bubble;0.0001;10000;10000;0
bubble;0.0001;10000;10000;0
bubble;0.0001;10000;10000;0
bubble;0.0001;10000;10000;0
bubble;0.0001;10000;10000;0
bubble;0.0001;10000;10000;0
bubble;0.0001;10000;10000;0
bubble;0.0001;10000;10000;0
insertion;0.0001;10000;8080;1
insertion;0.0001;10000;9011;1
insertion;0.0001;10000;5156;2
insertion;0.0001;10000;10000;0
insertion;0.0001;10000;10000;0
insertion;0.0001;10000;10000;0
insertion;0.0001;10000;9385;1
insertion;0.0001;10000;10000;0
insertion;0.0001;10000;9920;1
insertion;0.0001;10000;10000;0
merge;0.0001;10000;5477;5
merge;0.0001;10000;3541;5
merge;0.0001;10000;2674;8
merge;0.0001;10000;3947;6
merge;0.0001;10000;4543;6
merge;0.0001;10000;3388;7
merge;0.0001;10000;8163;4
merge;0.0001;10000;3970;3
merge;0.0001;10000;2840;4
merge;0.0001;10000;2140;9
quick;0.0001;10000;1473;9
quick;0.0001;10000;1748;13
quick;0.0001;10000;1699;17
quick;0.0001;10000;2077;16
quick;0.0001;10000;1605;14
quick;0.0001;10000;1815;9
quick;0.0001;10000;2601;12
quick;0.0001;10000;3104;15
quick;0.0001;10000;3193;17
quick;0.0001;10000;2154;14
