id;algo;eps;tam;max;count_err;
q;quick;0.001;10000;516;122;
q;quick;0.001;10000;334;114;
q;quick;0.001;10000;446;108;
q;quick;0.001;10000;384;123;
q;quick;0.001;10000;434;133;
q;quick;0.001;10000;538;115;
q;quick;0.001;10000;404;101;
q;quick;0.001;10000;511;115;
q;quick;0.001;10000;400;107;
q;quick;0.001;10000;517;95;
q;quick;0.001;10000;480;109;
q;quick;0.001;10000;550;109;
q;quick;0.001;10000;444;113;
q;quick;0.001;10000;403;124;
q;quick;0.001;10000;473;96;
q;quick;0.001;10000;484;107;
q;quick;0.001;10000;505;109;
q;quick;0.001;10000;642;94;
q;quick;0.001;10000;477;118;
q;quick;0.001;10000;575;97;
q;quick;0.001;10000;407;111;
q;quick;0.001;10000;459;107;
q;quick;0.001;10000;523;96;
q;quick;0.001;10000;427;110;
q;quick;0.001;10000;492;120;
q;quick;0.001;10000;583;91;
q;quick;0.001;10000;574;92;
q;quick;0.001;10000;371;122;
q;quick;0.001;10000;312;107;
q;quick;0.001;10000;328;111;
q;quick;0.001;10000;585;116;
q;quick;0.001;10000;285;130;
q;quick;0.001;10000;514;106;
q;quick;0.001;10000;496;103;
m;merge;0.001;10000;323;120;
m;merge;0.001;10000;358;113;
m;merge;0.001;10000;374;117;
m;merge;0.001;10000;330;131;
m;merge;0.001;10000;412;110;
m;merge;0.001;10000;360;111;
m;merge;0.001;10000;378;113;
m;merge;0.001;10000;376;128;
m;merge;0.001;10000;341;123;
m;merge;0.001;10000;510;99;
m;merge;0.001;10000;424;116;
m;merge;0.001;10000;356;122;
m;merge;0.001;10000;418;112;
m;merge;0.001;10000;395;118;
m;merge;0.001;10000;471;114;
m;merge;0.001;10000;516;110;
m;merge;0.001;10000;439;108;
m;merge;0.001;10000;446;96;
m;merge;0.001;10000;613;104;
m;merge;0.001;10000;473;109;
m;merge;0.001;10000;370;115;
m;merge;0.001;10000;529;113;
m;merge;0.001;10000;532;99;
m;merge;0.001;10000;473;103;
m;merge;0.001;10000;479;133;
m;merge;0.001;10000;343;120;
m;merge;0.001;10000;395;113;
m;merge;0.001;10000;291;113;
m;merge;0.001;10000;526;140;
m;merge;0.001;10000;597;110;
m;merge;0.001;10000;366;121;
m;merge;0.001;10000;623;123;
m;merge;0.001;10000;482;112;
m;merge;0.001;10000;316;116;
m;merge;0.001;10000;444;120;
m;merge;0.001;10000;573;105;
m;merge;0.001;10000;445;103;
m;merge;0.001;10000;549;115;
m;merge;0.001;10000;345;118;
m;merge;0.001;10000;549;90;
i;insertion;0.001;10000;85;576;
i;insertion;0.001;10000;93;517;
i;insertion;0.001;10000;86;546;
i;insertion;0.001;10000;93;574;
i;insertion;0.001;10000;93;553;
i;insertion;0.001;10000;75;592;
i;insertion;0.001;10000;98;568;
i;insertion;0.001;10000;98;537;
i;insertion;0.001;10000;103;549;
i;insertion;0.001;10000;86;532;
i;insertion;0.001;10000;91;555;
i;insertion;0.001;10000;87;557;
i;insertion;0.001;10000;97;577;
i;insertion;0.001;10000;83;529;
i;insertion;0.001;10000;96;528;
i;insertion;0.001;10000;99;537;
i;insertion;0.001;10000;101;555;
i;insertion;0.001;10000;82;555;
i;insertion;0.001;10000;95;556;
i;insertion;0.001;10000;87;547;
i;insertion;0.001;10000;87;549;
i;insertion;0.001;10000;155;525;
i;insertion;0.001;10000;82;559;
i;insertion;0.001;10000;71;607;
i;insertion;0.001;10000;111;570;
i;insertion;0.001;10000;89;581;
i;insertion;0.001;10000;80;545;
i;insertion;0.001;10000;85;571;
i;insertion;0.001;10000;81;522;
i;insertion;0.001;10000;95;566;
i;insertion;0.001;10000;75;567;
i;insertion;0.001;10000;100;531;
i;insertion;0.001;10000;92;576;
i;insertion;0.001;10000;92;558;
i;insertion;0.001;10000;131;553;
i;insertion;0.001;10000;91;533;
i;insertion;0.001;10000;82;533;
i;insertion;0.001;10000;88;526;
i;insertion;0.001;10000;81;560;
i;insertion;0.001;10000;97;566;
b;bubble;0.001;10000;3034;48;
b;bubble;0.001;10000;1807;59;
b;bubble;0.001;10000;2598;50;
b;bubble;0.001;10000;1800;62;
b;bubble;0.001;10000;2256;63;
b;bubble;0.001;10000;2366;48;
b;bubble;0.001;10000;3358;50;
b;bubble;0.001;10000;2712;56;
b;bubble;0.001;10000;3582;51;
b;bubble;0.001;10000;3940;50;
b;bubble;0.001;10000;2052;59;
b;bubble;0.001;10000;1783;58;
b;bubble;0.001;10000;1568;59;
b;bubble;0.001;10000;2597;57;
b;bubble;0.001;10000;3132;67;
b;bubble;0.001;10000;3381;61;
b;bubble;0.001;10000;3327;59;
b;bubble;0.001;10000;2500;56;
b;bubble;0.001;10000;3406;51;
b;bubble;0.001;10000;3056;58;
b;bubble;0.001;10000;2203;53;
b;bubble;0.001;10000;5541;56;
b;bubble;0.001;10000;4085;49;
b;bubble;0.001;10000;3372;55;
b;bubble;0.001;10000;2419;54;
b;bubble;0.001;10000;4999;61;
b;bubble;0.001;10000;1965;57;
b;bubble;0.001;10000;2990;57;
b;bubble;0.001;10000;3413;49;
b;bubble;0.001;10000;4123;61;
b;bubble;0.001;10000;3343;65;
b;bubble;0.001;10000;2242;56;
b;bubble;0.001;10000;1666;65;
b;bubble;0.001;10000;2665;54;
b;bubble;0.001;10000;1737;55;
b;bubble;0.001;10000;2753;60;
b;bubble;0.001;10000;2294;62;
b;bubble;0.001;10000;2277;57;
b;bubble;0.001;10000;1931;57;
b;bubble;0.001;10000;3505;43;
b;bubble;0.01;10000;731;396;
b;bubble;0.01;10000;552;364;
b;bubble;0.01;10000;831;390;
b;bubble;0.01;10000;468;395;
b;bubble;0.01;10000;683;377;
b;bubble;0.01;10000;540;367;
b;bubble;0.01;10000;655;392;
b;bubble;0.01;10000;677;394;
b;bubble;0.01;10000;425;404;
b;bubble;0.01;10000;1180;390;
b;bubble;0.01;10000;429;399;
b;bubble;0.01;10000;846;374;
b;bubble;0.01;10000;898;356;
b;bubble;0.01;10000;499;378;
b;bubble;0.01;10000;489;430;
b;bubble;0.01;10000;459;387;
b;bubble;0.01;10000;619;392;
b;bubble;0.01;10000;338;395;
b;bubble;0.01;10000;474;404;
b;bubble;0.01;10000;666;389;
b;bubble;0.01;10000;705;377;
b;bubble;0.01;10000;735;403;
b;bubble;0.01;10000;653;411;
b;bubble;0.01;10000;868;368;
b;bubble;0.01;10000;964;383;
b;bubble;0.01;10000;381;383;
