id;algo;eps;tam;max;count_err;recursive
q;quick;0.001;1000;221;8;FALSE
q;quick;0.001;1000;380;9;FALSE
q;quick;0.001;1000;214;11;FALSE
q;quick;0.001;1000;182;10;FALSE
q;quick;0.001;1000;193;16;FALSE
q;quick;0.001;1000;313;9;FALSE
q;quick;0.001;1000;281;9;FALSE
q;quick;0.001;1000;244;10;FALSE
q;quick;0.001;1000;380;7;FALSE
q;quick;0.001;1000;346;8;FALSE
m;merge;0.001;1000;317;5;FALSE
m;merge;0.001;1000;239;10;FALSE
m;merge;0.001;1000;271;8;FALSE
m;merge;0.001;1000;221;7;FALSE
m;merge;0.001;1000;710;5;FALSE
m;merge;0.001;1000;431;6;FALSE
m;merge;0.001;1000;292;10;FALSE
m;merge;0.001;1000;244;9;FALSE
m;merge;0.001;1000;210;11;FALSE
m;merge;0.001;1000;368;4;FALSE
b;bubble;0.001;1000;817;3;FALSE
b;bubble;0.001;1000;560;1;FALSE
b;bubble;0.001;1000;679;2;FALSE
b;bubble;0.001;1000;379;6;FALSE
b;bubble;0.001;1000;985;1;FALSE
b;bubble;0.001;1000;525;3;FALSE
b;bubble;0.001;1000;886;2;FALSE
b;bubble;0.001;1000;854;2;FALSE
b;bubble;0.001;1000;548;6;FALSE
b;bubble;0.001;1000;772;4;FALSE
i;insertion;0.001;1000;86;41;FALSE
i;insertion;0.001;1000;75;51;FALSE
i;insertion;0.001;1000;84;47;FALSE
i;insertion;0.001;1000;79;41;FALSE
i;insertion;0.001;1000;89;47;FALSE
i;insertion;0.001;1000;65;52;FALSE
i;insertion;0.001;1000;67;55;FALSE
i;insertion;0.001;1000;55;48;FALSE
i;insertion;0.001;1000;76;43;FALSE
i;insertion;0.001;1000;90;39;FALSE
b;bubble;0.0001;10000;10000;0;FALSE
b;bubble;0.0001;10000;10000;0;FALSE
b;bubble;0.0001;10000;10000;0;FALSE
b;bubble;0.0001;10000;10000;0;FALSE
b;bubble;0.0001;10000;10000;0;FALSE
b;bubble;0.0001;10000;10000;0;FALSE
b;bubble;0.0001;10000;10000;0;FALSE
b;bubble;0.0001;10000;10000;0;FALSE
b;bubble;0.0001;10000;10000;0;FALSE
b;bubble;0.0001;10000;10000;0;FALSE
i;insertion;0.0001;10000;8080;1;FALSE
i;insertion;0.0001;10000;9011;1;FALSE
